Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate
From Fatherless to Fearless,1,25.0,1,1,1,1,0.0
Front Runner Sports,1,17.0,1,1,1,1,0.0
Frontgate,2,14.15,2,1,1,1,0.0
Fund Evaluation Group LLC,32,16.46875,5,2,7,3,0.0
"Fund That Flip, Inc",1,18.0,1,1,1,1,0.0
Funky's Catering Events,1,15.0,1,1,1,1,0.0
G & W Products,1,18.0,1,1,1,1,0.0
G.E. Schmidt,2,15.0,1,1,2,2,0.0
G3 Marketing and ProCamps,1,25.0,1,1,1,1,0.0
GANNETT | USA TODAY NETWORK,1,10.0,1,1,1,1,0.0
GBQ,4,38.05,2,1,4,1,0.0
GBQ Partners,48,24.666666666666668,4,2,6,3,0.0
GE,5,21.85,3,1,2,2,0.0
GE A,1,23.0,1,1,1,1,0.0
GE Aerospace,38,20.952894736842108,13,2,4,3,0.0
GE Appliances,55,19.522727272727273,12,2,7,3,0.0
GE Aviation,84,21.69702380952381,16,2,5,4,0.0
GE Healthcare,1,16.0,1,1,1,1,0.0
GEA,1,20.5,1,1,1,1,0.0
GEICO,1,16.04,1,1,1,1,0.0
GMI,1,17.0,1,1,1,1,0.0
GMI Corporation,1,18.0,1,1,1,1,0.0
GMS,1,17.0,1,1,1,1,0.0
GMi Companies,3,18.0,2,1,3,2,0.0
GNC,1,15.0,1,1,1,1,0.0
GOFOS,1,17.0,1,1,1,1,0.0
"GPB Capital Holdings, LLC",2,5.0,1,1,1,2,0.0
GSM Vietnam - Vingroup JSC,1,8.75,1,1,1,1,0.0
GXO Logistics,1,15.0,1,1,1,1,0.0
Gaiser Bee Company,2,13.0,1,1,1,2,0.0
Galerie Candy & Gifting,1,14.0,1,1,1,1,0.0
Gallagher,2,18.5,1,1,2,1,0.0
Galois Capital Management LLC,1,17.0,1,1,1,1,0.0
Garden Path Landscaping LLC,1,17.0,1,1,1,1,0.0
Gardner Street Commercial Real Estate Group,3,14.5,1,1,2,2,0.0
Garnet Hill Lodge,1,13.0,1,1,1,1,0.0
Gartner,9,14.333333333333334,2,2,3,3,0.0
Gartner inc,1,15.0,1,1,1,1,0.0
Gaslight Property,2,17.0,2,1,2,2,0.0
GatePass Capital,1,20.59,1,1,1,1,0.0
Gearsupply LLC,2,17.5,2,2,1,1,0.0
General Cable,1,15.0,1,1,1,1,0.0
General Dynamics Land Systems,1,23.0,1,1,1,1,0.0
General Electric (GE),5,24.0,3,1,2,3,0.0
General Electric Appliance,1,20.5,1,1,1,1,0.0
General Electric Appliances,3,18.166666666666668,2,1,3,2,0.0
General Electric Aviation,2,24.5,2,1,2,2,0.0
General Electric louisville Kentucky,1,17.0,1,1,1,1,0.0
General Factory Supply,2,16.75,2,1,2,1,0.0
General Mills,1,17.0,1,1,1,1,0.0
General Motors,1,8.0,1,1,1,1,0.0
General Tool Company,11,14.136363636363637,4,1,2,3,0.0
General Transport Inc,1,15.0,1,1,1,1,0.0
Gensuite LLC,2,18.0,1,1,2,2,0.0
Gentherm,2,16.0,1,1,1,1,0.0
Gentherm Medical,4,17.125,3,1,2,1,0.0
Germane Solutions,1,18.0,1,1,1,1,0.0
"Giant Eagle, Inc",2,17.3,1,1,2,1,0.0
Girl Scouts of the USA,1,15.0,1,1,1,1,0.0
Girls Who Invest,1,20.0,1,1,1,1,0.0
Givaudan,10,17.3,2,1,6,3,0.0
Givaudan Flavors Corp,38,18.092105263157894,7,1,4,3,0.0
Givaudan Fragrance Corp,2,19.0,1,1,2,2,0.0
Givaudan Group Ltd,1,23.0,1,1,1,1,0.0
Givaudan Taste & Wellbeing,14,18.0,5,1,2,3,0.0
Give Like a Mother,3,12.626666666666667,3,1,2,1,0.0
Glanbia Performance Nutrition,1,18.0,1,1,1,1,0.0
Global Underwriters,1,17.0,1,1,1,1,0.0
Goering Center,1,12.75,1,1,1,1,0.0
Goering Center for Family & Private Business,15,13.768666666666666,3,2,6,3,0.0
Goldman Sachs,1,15.0,1,1,1,1,0.0
Goldsberry Wealth Strategies,2,18.5,1,1,1,1,0.0
Good Game Operations LLC,1,20.0,1,1,1,1,0.0
Google,4,24.585,1,3,4,1,0.0
Google LLC,1,26.0,1,1,1,1,0.0
"Government Acquisitions, Inc. (GAI)",4,18.0,1,1,3,3,0.0
Graceworks Lutheran Services,1,16.0,1,1,1,1,0.0
Graeter's Ice Cream,2,15.75,2,2,2,2,0.0
Graeters' Manufacturing Inc,1,17.0,1,1,1,1,0.0
Grange Insurance,2,18.0,2,1,2,1,0.0
Grant Thornton,49,25.642857142857142,9,2,7,4,0.0
Graphic Information Systems,4,15.75,3,1,3,2,0.0
Gravity Creative Space,1,17.0,1,1,1,1,0.0
Gravity Diagnostics,3,15.0,2,1,3,2,0.0
Gravity Universal,1,15.0,1,1,1,1,0.0
"Graybar Electric Company, Inc",1,15.5,1,1,1,1,0.0
Great American,3,18.0,2,1,3,2,0.0
Great American Financial Group,3,17.333333333333332,1,1,2,3,0.0
Great American Insurance Group,328,18.15341463414634,21,2,7,4,0.0
Great American Life Insurance Company,13,18.576923076923077,6,2,2,3,0.0
Great American in,1,17.0,1,1,1,1,0.0
Great Lakes Cheese,3,16.333333333333332,2,1,2,2,0.0
Great Lakes Cheese Co Inc,1,17.0,1,1,1,1,0.0
Great Wolf Lodge,2,16.94,2,1,2,1,0.0
Greater Cincinnati Automobile Dealers Association,1,10.0,1,1,1,1,0.0
Greater Cincinnati Behavioral Health Services,1,18.0,1,1,1,1,0.0
Greater Cincinnati Golf Association,4,31.0,3,1,4,1,0.0
Greater Cincinnati Water Works,3,16.083333333333332,2,1,2,2,0.0
Greenacres Foundation,1,12.0,1,1,1,1,0.0
Greenway Innovations,2,17.0,1,1,2,2,0.0
Greif,1,18.0,1,1,1,1,0.0
Gries financial partners,1,17.0,1,1,1,1,0.0
"Group Management Services, LLC",1,20.0,1,1,1,1,0.0
"Growers Edge Financial, Inc",1,12.0,1,1,1,1,0.0
Grupo Animal,1,17.0,1,1,1,1,0.0
Guardian Savings Bank,1,17.0,1,1,1,1,0.0
Guiding Light Mentoring,3,12.0,2,1,2,3,0.0
Gujarat Pesticide,1,17.0,1,1,1,1,0.0
Gulfstream,1,17.0,1,1,1,1,0.0
Gulfstream Aerospace Corporation,9,20.055555555555557,4,1,4,3,0.0
"Guttman Development Group, LLC",1,17.0,1,1,1,1,0.0
Guttman Properties,1,16.0,1,1,1,1,0.0
H&R Block,1,10.0,1,1,1,1,0.0
HBH Holdings,6,19.166666666666668,4,2,3,3,0.0
"HBH Holdings, Inc",1,15.0,1,1,1,1,0.0
HCL Technologies Ltd,1,18.0,1,1,1,1,0.0
HCM Wealth Advisors,1,24.0,1,1,1,1,0.0
HDT Global,3,17.333333333333332,1,1,3,2,0.0
HG CPAs LLC,1,17.0,1,1,1,1,0.0
"HG CPAs, LLC",1,20.0,1,1,1,1,0.0
HGC Construction (Huseman Group),1,19.0,1,1,1,1,0.0
HH Global,8,16.25,4,1,5,2,0.0
HICKS & MANN,1,20.59,1,1,1,1,0.0
HINGE GLOBAL,1,18.5,1,1,1,1,0.0
HOMEstretch,2,18.0,1,1,2,2,0.0
HORAN,4,16.75,4,1,2,3,0.0
HSD Metrics,1,12.0,1,1,1,1,0.0
HSN,1,13.0,1,1,1,1,0.0
HUB International,6,18.0,2,1,2,3,0.0
HW&Co. | CPAs & Advisors,1,23.0,1,1,1,1,0.0
Haag Streit USA,3,19.0,3,1,2,1,0.0
Hagler and Associates Inc,1,14.0,1,1,1,1,0.0
Halal Food Inc,1,17.0,1,1,1,1,0.0
Halmar International LLC,1,16.5,1,1,1,1,0.0
Hamilton Casework Solutions,3,18.0,2,1,1,2,0.0
Hand & Stone Massage and Facial Spa,2,15.0,1,1,2,2,0.0
Hand and Stone Massage Spa,1,16.0,1,1,1,1,0.0
Handshake,2,18.0,2,1,1,1,0.0
"Hanesbrands, Inc",3,21.0,2,1,3,1,0.0
Harlem Irving Companies,1,17.0,1,1,1,1,0.0
Harmony Venture Labs,2,22.5,1,1,2,1,0.0
Harrison Tax & Accounting,1,16.5,1,1,1,1,0.0
Hartlaub CPA Advisory Group LLC,1,18.0,1,1,1,1,0.0
Hartsock Tax Service,1,10.0,1,1,1,1,0.0
Haskell,1,15.0,1,1,1,1,0.0
Hawkstone Associates,1,17.0,1,1,1,1,0.0
Health Carousel,1,9.6,1,1,1,1,0.0
HealthGuard,5,18.0,1,1,2,2,0.0
Healthwell Enterprises,1,10.0,1,1,1,1,0.0
"Healthy Roster, Inc",1,18.0,1,1,1,1,0.0
Heartland Food Products Group,1,17.0,1,1,1,1,0.0
Hebbeler & Weickert CPAs,3,23.0,2,1,2,1,0.0
Heidelberg Distributing Company,1,13.5,1,1,1,1,0.0
Heinen's Grocery Store,1,15.0,1,1,1,1,0.0
Helium SEO,3,15.333333333333334,2,1,3,2,0.0
"Helix Electric, Inc",1,17.0,1,1,1,1,0.0
Hellman Clothiers,2,14.0,1,1,2,2,0.0
Henkel,4,24.5,2,1,3,3,0.0
Heritage Classical Academy,1,10.0,1,1,0,1,0.0
Hero Cosmetics,3,15.0,1,1,1,3,0.0
Hershey,1,23.5,1,1,1,1,0.0
Hexion Inc,2,19.0,1,1,1,2,0.0
Hicks and Mann,1,5.0,1,1,1,1,0.0
Highlights For Children,1,15.0,1,1,1,1,0.0
Hillcrest Financial Group,1,20.59,1,1,1,1,0.0
Hillside Maintenance Supply,1,17.0,1,1,1,1,0.0
Hilltop Supply and Hardwood,1,20.0,1,1,1,1,0.0
Hilti North America,1,21.0,1,1,1,1,0.0
His Will Homes,1,12.5,1,1,1,1,0.0
Hitch,1,15.0,1,1,1,1,0.0
Hoa Phu Group,1,17.0,1,1,1,1,0.0
Hobart Brothers,2,18.0,1,1,1,2,0.0
Hobart Filler Metals,3,17.0,2,1,3,1,0.0
Hobsons,1,14.0,1,1,1,1,0.0
Hoeting Realtors,1,17.0,1,1,1,1,0.0
Hohman Plating & Manufacturing,1,18.0,1,1,1,1,0.0
Holder Construction,1,16.0,1,1,1,1,0.0
Holland Adhaus,1,15.0,1,1,1,1,0.0
Home City Ice,1,18.0,1,1,1,1,0.0
HomeWatch Caregivers,1,16.0,1,1,1,1,0.0
Honda,9,18.75,7,1,5,2,0.0
"Honda of America Manufacturing, Inc",1,16.0,1,1,1,1,0.0
Honeywell,10,20.2,5,2,4,3,0.0
Honeywell Intelligrated,3,20.0,3,1,2,2,0.0
"Honor & Grace Designs, LLC",1,20.0,1,1,1,1,0.0
Horan,1,15.0,1,1,1,1,0.0
Hormel Foods Corporation,1,20.5,1,1,1,1,0.0
Hortech Inc,1,12.98,1,1,1,1,0.0
Horter Investment Management,1,16.0,1,1,1,1,0.0
Hosanna Revival,3,17.0,2,2,2,3,0.0
Houchens Insurance Group- Recognized as the Best Place to Work in KY for 2020!,1,13.0,1,1,1,1,0.0
House Doctors Home Improvements,5,12.0,1,1,2,2,0.0
Housing Opportunities of Northern Kentucky,2,26.67,1,1,2,2,0.0
Howden Americas,3,17.333333333333332,2,1,2,2,0.0
Hubbard Cincinnati,1,25.0,1,1,1,1,0.0
Hubbell Incorporated,3,20.0,3,1,3,1,0.0
Hudepohl Restoration,1,13.5,1,1,1,1,0.0
Huntington Bank,5,17.0,4,1,4,1,0.0
Huntington National Bank,5,18.4,5,2,3,1,0.0
Huseman Group,2,17.75,1,1,2,2,0.0
Husky Energy,1,17.31,1,1,1,1,0.0
Husky Energy Lima Refining Company,1,25.37,1,1,1,1,0.0
Huy Phat Electronics,1,16.0,1,1,1,1,0.0
HyLo Digital Marketing by Welcome Wagon,1,66.67,1,1,1,1,1.0
Hyde park landscaping,1,17.0,1,1,1,1,0.0
Hylant,3,17.0,3,1,3,2,0.0
IBM,3,22.416666666666668,3,1,1,2,0.0
"ICOF America, Inc",2,18.0,1,1,2,2,0.0
ICON,1,16.0,1,1,1,1,0.0
IEL,1,12.0,1,1,1,1,0.0
IGNA,1,17.0,1,1,1,1,0.0
ILSCO,3,17.166666666666668,2,1,2,2,0.0
ILSCO Corp,11,13.909090909090908,2,1,2,3,0.0
IRG Realty Advisors,1,15.0,1,1,1,1,0.0
Ibotta,1,17.0,1,1,1,1,0.0
Icon Commerce,8,16.875,6,1,2,3,0.0
Icon Marketing and Communications,24,16.125,3,2,4,3,0.0
Idaho National Laboratory,1,17.0,1,1,1,1,0.0
Ignite Entertainment Cincinnati,1,10.0,1,1,1,1,0.0
Ignite Marketing Solutions Inc,2,16.5,2,1,2,2,0.0
Illinois Tool Works (ITW),1,22.0,1,1,1,1,0.0
Illumina,3,30.0,3,1,1,1,0.0
Illumination Research,4,16.5,2,1,1,2,0.0
In the Frame,1,13.0,1,1,1,1,0.0
Ince,1,17.0,1,1,1,1,0.0
Independence Excavating,1,16.0,1,1,1,1,0.0
Independence Excavating - (DiGeronimo Companies),1,16.0,1,1,1,1,0.0
India Alternatives Investment Advisors Private Limited,1,17.0,1,1,1,1,0.0
Indiana Housing and Community Development Authority,1,16.0,1,1,1,1,0.0
Indiana Park and Recreation Association,1,12.88,1,1,1,1,0.0
Indiana State House,1,17.0,1,1,1,1,0.0
Industrious Marketing,1,17.0,1,1,1,1,0.0
Indy 11,1,17.0,1,1,1,1,0.0
"InfoTrust, LLC",1,17.0,1,1,1,1,0.0
Infoblox,1,20.0,1,1,1,1,0.0
Information Services and Technology Transfer Company Limited,1,17.0,1,1,1,1,0.0
Infoverity,1,18.0,1,1,1,1,0.0
Inframentum TM Pvt Ltd,1,17.0,1,1,1,1,0.0
Innago,1,12.0,1,1,1,1,0.0
InnerWorkings,11,16.09090909090909,5,2,1,2,0.0
InnoG,1,20.0,1,1,1,1,0.0
Innovation EEP,1,17.0,1,1,1,1,0.0
Innovision Dynamics,1,9.0,1,1,1,1,0.0
Inphlu,1,20.0,1,1,1,1,0.0
Insight,1,16.0,1,1,1,1,0.0
Insight Enterprises,1,22.0,1,1,1,1,0.0
Insight Global,1,15.4,1,1,1,1,0.0
InstaSocial,1,17.0,1,1,1,1,0.0
Instant Quote,1,25.0,1,1,1,1,0.0
InstantQuote,1,20.0,1,1,1,1,0.0
Institute of Humane Studies,1,17.0,1,1,1,1,0.0
Insureon,1,15.0,1,1,1,1,0.0
Integrity Express Logistics,7,14.028571428571428,4,1,2,2,0.0
"Intelligrated, Inc",1,16.0,1,1,1,1,0.0
"Interdesign, Inc",2,13.0,2,1,1,1,0.0
Interlochen,1,17.0,1,1,1,1,0.0
International Paper,1,21.0,1,1,1,1,0.0
Intouch Solutions,1,13.0,1,1,1,1,0.0
Intrinzic,1,15.0,1,1,1,1,0.0
Intrust-IT,2,18.0,2,1,2,1,0.0
Intuit,16,24.6875,5,1,4,1,0.25
"Intuit, Inc",2,32.5,2,1,1,1,0.0
Invacare Corporation,1,17.0,1,1,1,1,0.0
Invoke Studio,1,14.0,1,1,1,1,0.0
Invotec,1,15.0,1,1,1,1,0.0
"Invotec Engineering, Inc",5,17.2,1,1,3,3,0.0
Ipsos,7,16.142857142857142,2,2,3,3,0.0
Ipsos Insights,1,14.0,1,1,1,1,0.0
Ipsos UU,1,15.0,1,1,1,1,0.0
Ish,1,10.0,1,1,1,1,0.0
Islamic Center of Greater Cincinnati,2,19.5,1,1,2,2,0.0
Islamic Center of Greater Cincinnati Basketball Program,1,15.0,1,1,1,1,0.0
Iwamet,1,17.0,1,1,1,1,0.0
J Randall Nye & Associates,1,15.38,1,1,1,1,0.0
J.B. Hunt Transport,1,16.0,1,1,1,1,0.0
J.M. Smucker Co,1,17.0,1,1,1,1,0.0
J.M. Smucker Company,13,19.423076923076923,7,2,5,3,0.07692307692307693
J.P. Morgan,2,79.335,1,1,2,1,0.0
J.P. Morgan Private Bank,1,33.0,1,1,1,1,0.0
J2S Medical,1,20.0,1,1,1,1,0.0
JB HunT,1,17.0,1,1,1,1,0.0
JB Hunt,1,16.0,1,1,1,1,0.0
JBM Packaging Company,12,17.5,4,1,5,3,0.0
JD Irving,2,17.0,1,1,1,2,0.0
JDRF,1,15.0,1,1,1,1,0.0
JDRF Southwest Ohio Chapter,1,12.0,1,1,1,1,0.0
"JIM DARIA & ASSOCIATES, INC",1,18.0,1,1,1,1,0.0
JLL,2,17.5,2,1,2,2,0.0
JP Morgan,4,28.75,3,1,3,1,0.0
JPMorgan Chase & Co,17,25.45,6,2,6,2,0.0
JPMorganChase,3,20.59,2,1,1,1,0.0
JR Insurance and Benefit Consultants Inc,1,15.0,1,1,1,1,0.0
JSX,1,14.0,1,1,1,1,0.0
JVS Career Services,1,15.0,1,1,1,1,0.0
"Jaan Health, Inc",1,8.55,1,1,1,1,0.0
Jabil,1,19.0,1,1,1,1,0.0
Jacobs Engineering Buildings and Infrastructure,2,17.5,1,1,1,2,0.0
Jacobs Engineering Group,1,17.5,1,1,1,1,0.0
Jake's Visuals,1,12.5,1,1,1,1,0.0
James J. Luebbe Inc,1,16.67,1,1,1,1,0.0
Janney Montgomery Scott,6,13.85,2,1,4,3,0.0
Jd Irving Tissue,1,17.0,1,1,1,1,0.0
Jeff Anderson Real Estate,1,10.0,1,1,1,1,0.0
Jeff Ruby Culinary Entertainment,3,16.0,2,1,2,2,0.0
Jeff Wyler Automotive Family,10,17.419999999999998,2,1,4,3,0.0
Jim Wojta,1,8.33,1,1,1,1,0.0
John K9,1,17.0,1,1,1,1,0.0
John R. Jurgensen Companies,23,15.130434782608695,4,1,7,3,0.0
Johnson & Johnson,13,20.557692307692307,6,1,3,3,0.07692307692307693
Johnson & Johnson Family of Companies,1,19.0,1,1,1,1,0.0
Johnson Investment Counsel,24,19.139166666666668,5,2,6,3,0.0
Jones & Jones Law Firm,1,18.0,1,1,1,1,0.0
Jones Lang LaSalle,1,17.0,1,1,1,1,0.0
Jones Lange lasalle,1,20.0,1,1,1,1,0.0
Jordan Semder Interiors,1,17.0,1,1,1,1,0.0
Jordan realty,1,17.0,1,1,1,1,0.0
Jovie,1,14.0,1,1,1,1,0.0
Jovie: Childcare Reimagined,1,17.0,1,1,1,1,0.0
Junior Achievement of Cincinnati,1,10.0,1,1,1,1,0.0
Jurgensen,1,15.0,1,1,1,1,0.0
Jurgensen Companies,2,12.0,2,2,2,2,0.0
Just Candy,18,16.055555555555557,7,1,4,3,0.0
JustCandy,3,15.0,2,1,1,2,0.0
Justice Design Lab,1,14.0,1,1,1,1,0.0
Juvenile Diabetes Research Foundation Southwest Ohio Chapter,1,12.0,1,1,1,1,0.0
K & J Web Designs,2,17.0,2,1,1,1,0.0
K&M Tire,1,15.5,1,1,1,1,0.0
KAO Corportation,1,17.0,1,1,1,1,0.0
KEEN Engineering,1,10.0,1,1,1,1,0.0
KEYENCE Corporation of America,1,18.0,1,1,1,1,0.0
KOST USA,1,18.0,1,1,1,1,0.0
KPMG,14,27.805,6,1,5,2,0.0
KPMG LLP,17,49.62647058823529,3,1,4,2,0.0
KPMG US,5,24.942,3,2,4,1,0.0
"KSM (Katz, Sapper & Miller)",1,23.0,1,1,1,1,0.0
KSM Sports Facility,1,17.0,1,1,1,1,0.0
KW Flooring,1,20.0,1,1,1,1,0.0
Kaleidoscope Innovation,1,16.0,1,1,1,1,0.0
Kaleidosope,1,15.0,1,1,1,1,0.0
Kankanala Sports Group,1,17.0,1,1,1,1,0.0
Kao,35,16.785714285714285,6,1,5,3,0.0
Kao Brands,1,18.0,1,1,1,1,0.0
Kao Corporation,5,17.0,3,1,4,3,0.0
Kao USA,1,18.0,1,1,1,1,0.0
Kao usa,1,17.0,1,1,1,1,0.0
Kao(washingsystems),1,17.0,1,1,1,1,0.0
Katz Teller,4,14.0,2,2,3,2,0.0
Keep Cincinnati Beautiful,5,15.0,1,1,3,3,0.0
Keep IT Simple Solutions LLC,1,17.0,1,1,1,1,0.0
Keepers Turf,1,30.0,1,1,1,1,0.0
Keith and Associates,1,17.0,1,1,1,1,0.0
Keith and Associaties,1,17.0,1,1,1,1,0.0
Keller Williams - Team Jackson Real Estate LLC,1,17.0,1,1,1,1,0.0
Keller Williams Advisors Realty,2,19.0,1,1,1,2,0.0
"Keller Williams Advisors, Martin & Associates",1,18.0,1,1,1,1,0.0
Keller Williams Advisors- Key Property Partners,1,17.0,1,1,1,1,0.0
Keller Williams Associate Partners,2,17.0,1,1,2,2,0.0
Keller Williams Greater Columbus Commercial Realty,1,17.0,1,1,1,1,0.0
"Kelley, Golloway, Smith, Goolsbey, SPA",1,15.0,1,1,1,1,0.0
Kellogg's,14,20.87857142857143,7,2,3,3,0.0
Kemba Credit Union,3,17.03,2,2,3,2,0.0
Kennedy Heights Arts Center,1,10.0,1,1,1,1,0.0
Kentucky Farm Bureau Mutual Insurance Company,1,15.0,1,1,1,1,0.0
Kentucky Symphony Orchestra,2,13.5,1,1,2,1,0.0
Kenvue,2,16.0,1,1,2,2,0.0
Kenwood Dealer Group,1,15.0,1,1,1,1,0.0
Kenworth Truck Company,1,17.24,1,1,1,1,0.0
Kenworth Trucks,1,17.0,1,1,1,1,0.0
Kerry,1,18.0,1,1,1,1,0.0
Keurig Dr Pepper,1,18.0,1,1,1,1,0.0
Key Banc Capital Markets,1,15.0,1,1,1,1,0.0
"Key Bridge Compliance, LLC",6,17.0,1,1,3,3,0.0
KeyBank,9,18.11111111111111,5,1,3,2,0.0
Keystone Roofing (Fort Myers),1,20.0,1,1,1,1,0.0
Killerspots Agency,1,17.0,1,1,1,1,0.0
Kimball E. Rubin & Associates,2,15.0,1,1,1,2,0.0
Kimball E. Rubin and Associates Ltd,1,15.0,1,1,1,1,0.0
"Kimball International, Inc",3,18.0,1,1,1,3,0.0
Kimball Midwest,4,17.875,2,1,3,2,0.0
Kimberly Clark,1,21.0,1,1,1,1,0.0
Kinetic Vision,29,17.25,9,2,5,3,0.0
Kinetico Incorporated,1,15.0,1,1,1,1,0.0
Kinetics,1,40.0,1,1,1,1,0.0
Kings Island,15,13.333333333333334,7,1,6,3,0.0
Kingsgate Logistics,3,13.25,3,1,1,1,0.0
Kingsley & Company,1,17.0,1,1,1,1,0.0
Kinley Cincinnati,1,15.0,1,1,1,1,0.0
Kirk's Family of Natural Brands,1,20.0,1,1,1,1,0.0
Kirk's Natural,2,14.0,2,1,2,2,0.0
Kirk's Natural Soap,1,15.0,1,1,1,1,0.0
Kirks Natural,1,15.0,1,1,1,1,0.0
Kirsch CPA Group,6,20.833333333333332,4,1,4,1,0.0
Kirsh Cpa Group,1,16.0,1,1,1,1,0.0
Kite Realty Group,1,14.0,1,1,1,1,0.0
KnowledgeWorks Foundation,1,12.0,1,1,1,1,0.0
Kohl's,3,17.266666666666666,1,2,3,1,0.0
Kohl's Corporate,1,17.0,1,1,1,1,0.0
Kohl's Corporation,1,16.0,1,1,1,1,0.0
Kohl's Department Stores,1,21.0,1,1,1,1,0.0
Kohls,1,15.0,1,1,1,1,0.0
Kohlâ€™s,1,16.0,1,1,1,1,0.0
Kohn Wealth Management,3,18.333333333333332,2,1,2,2,0.0
Kohrman Frye & Associates,2,16.0,1,1,2,2,0.0
Kolar Design,3,13.666666666666666,1,1,2,3,0.0
"Kollath & Associates CPA, LLC",2,23.5,1,1,1,1,0.0
"Kong Esq., LLC",2,21.5,2,1,1,1,0.0
"Kong esq., LLC",1,17.0,1,1,1,1,0.0
Koni,1,22.0,1,1,1,1,0.0
Korea Investment & Securities,1,15.0,1,1,1,1,0.0
Kreller Group,1,17.0,1,1,1,1,0.0
Krishna Import and Export,1,17.0,1,1,1,1,0.0
Kroger,141,17.765035460992905,19,2,7,3,0.0
Kroger (261544),2,16.65,2,1,1,1,0.0
Kroger (34433),2,18.5,2,1,1,1,0.0
Kroger Co,30,17.83,8,2,4,3,0.0
Kroger Digital & Technology,1,24.0,1,1,1,1,0.0
Kroger Technology,3,17.166666666666668,1,1,2,2,0.0
Kroger Technology & Digital,4,20.25,1,1,2,3,0.0
Kroger- 1819 Innovation Hub,1,17.0,1,1,1,1,0.0
Kronos,2,17.0,1,1,2,2,0.0
Kuecker Pulse Integration,1,18.0,1,1,1,1,0.0
Kyle Veterinary Hospital,1,85.0,1,1,1,1,0.0
Kyndryl,3,23.666666666666668,1,1,2,3,0.0
L Brands,5,20.4,4,1,1,2,0.0
L&M Kohn & Company,1,18.0,1,1,1,1,0.0
L'OrÃ©al,2,21.5,2,1,1,1,0.0
L'OrÃ©al USA,2,22.0,2,1,2,2,0.0
L.A Foster Inc,1,15.0,1,1,1,1,0.0
L.J Star,1,16.0,1,1,1,1,0.0
"L.L. Bean, Inc",2,15.36,2,1,2,2,0.0
L.M. Kohn,1,17.0,1,1,0,1,0.0
L3 Technologies,1,19.0,1,1,1,1,0.0
L3Harris Technologies,1,20.25,1,1,1,1,0.0
LA Fitness,3,10.566666666666666,1,1,2,3,0.0
LANDOR,1,16.0,1,1,1,1,0.0
LASH BOUTIQUE SPA,1,17.3,1,1,1,1,0.0
LBrands,2,18.0,2,1,1,1,0.0
LCB Center for Business Analytics,1,17.0,1,1,1,1,0.0
LCS,2,16.0,1,1,2,1,0.0
LEI Home Enhancements,4,11.5,2,1,1,1,0.0
LG&E and KU Energy,3,21.72,1,1,2,3,0.0
LGI Homes,1,17.0,1,1,1,1,0.0
LINQ Services,2,15.5,1,1,1,1,0.0
LION,1,12.0,1,1,1,1,0.0
LJB Inc,1,18.0,1,1,1,1,0.0
LM Kohn,1,17.0,1,1,1,1,0.0
"LRT Restoration Technologies, LLC",1,20.0,1,1,1,1,0.0
LRT Sports,1,12.0,1,1,1,1,0.0
"LSI Industries, Inc",4,18.0,2,1,2,1,0.0
LUMENT,1,22.0,1,1,1,1,0.0
"La-Co Industries, Inc",1,18.0,1,1,1,1,0.0
LabConnect,1,18.0,1,1,1,1,0.0
Labcorp,1,16.0,1,1,1,1,0.0
Lace Bridal Couture,3,10.0,1,1,1,2,0.0
Lake City Logistics,1,17.0,1,1,1,1,0.0
Lake County Captains,1,12.5,1,1,1,1,0.0
Lake Erie Crushers,2,12.0,1,1,2,1,0.0
Lake Wealth Inc,1,10.0,1,1,1,1,0.0
Lake of the Woods and Greenwoods Camps,1,12.0,1,1,1,1,0.0
Lakeshore Cryotronics,1,17.0,1,1,1,1,0.0
Lalamove,1,3.38,1,1,1,1,0.0
Land O Lakes,1,20.0,1,1,1,1,0.0
Landis+Gyr,1,20.71,1,1,1,1,0.0
Lang Thang Group,3,15.666666666666666,1,1,1,3,0.0
Lang Thang group,3,16.333333333333332,1,1,2,2,0.0
Lang thang group,1,17.0,1,1,1,1,0.0
Lantern Sol,2,11.835,2,1,2,1,0.0
Larosas,2,15.0,1,1,2,2,0.0
Last Mile Food Rescue,5,12.7,2,1,2,2,0.0
Last Mile Investments,1,17.0,1,1,1,1,0.0
Launch513,1,17.0,1,1,1,1,0.0
Launchpad Business Club,1,33.33,1,1,1,1,0.0
"Lauterbach, Borschow & Co",1,23.0,1,1,1,1,0.0
Law offices of lawrence J Brokamp llc,1,17.0,1,1,1,1,0.0
Leadership Council for Nonprofits,1,12.5,1,1,1,1,0.0
Leaf Home,1,17.0,1,1,1,1,0.0
Leaf Home Water Solutions,1,83.33,1,1,1,1,0.0
Learfield IMG College,1,8.3,1,1,1,1,0.0
Learners Digital,2,18.5,1,1,2,2,0.0
Learning Commons,7,11.607142857142858,7,1,2,2,0.0
Learnlight,1,17.0,1,1,1,1,0.0
Lee & Associates,2,17.0,2,1,2,2,0.0
Legion,1,14.0,1,1,1,1,0.0
"Legion Logistics, LLC",16,14.5625,4,1,2,3,0.0
Leidos,1,25.0,1,1,1,1,0.0
"Leisure Systems, Inc",1,12.0,1,1,1,1,0.0
LendKey,17,15.058823529411764,7,2,1,2,0.0
"LendKey Technologies, Inc",2,15.0,1,1,2,2,0.0
Lendly,1,14.0,1,1,1,1,0.0
