Employer,Total_Hires,Avg_Hourly_Wage,Majors_Served,Industries_Served,Years_Active,Seasons_Active,Remote_Rate,Cluster_Tier,Tier_Name
Leidos,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Leisure Systems, Inc",1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
LendKey,17,15.058823529411764,7,2,1,2,0.0,0,Strategic High-Volume Partners
"LendKey Technologies, Inc",2,15.0,1,1,2,2,0.0,2,Core Relationship Employers
Lendly,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Letzer LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Level Up,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Level Up Cincinnati,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
Level Up USA,2,32.5,1,2,1,1,0.0,1,Low-Engagement Employers
LevelUp Campaigns,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Leverone & Associates,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Leverone & Associates, Inc",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Leverone & Associates, Inc II",2,23.0,1,1,1,2,0.0,1,Low-Engagement Employers
"Leverone & Associates, Inc III",1,20.5,1,1,1,1,0.0,1,Low-Engagement Employers
Levy Restaurants,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Levy restaurants,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
LexisNexis,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lextant,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lextant Corporation,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Liberty Mutual Insurance,19,18.36842105263158,4,1,4,3,0.0,2,Core Relationship Employers
Life Forward,2,12.690000000000001,2,1,2,2,0.0,2,Core Relationship Employers
Lifebanc,1,5.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lifesci Capital,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lifestyle Communities,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lifetime Financial Growth,4,39.75,3,2,2,1,0.0,1,Low-Engagement Employers
"Lifetime Financial Growth, LLC",2,33.0,1,2,2,1,0.0,1,Low-Engagement Employers
Lifetime Quality Roofing,4,18.75,1,1,3,3,0.0,2,Core Relationship Employers
Lighting Systems of Columbus,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lightship Capital Foundation,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lime,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lincoln Financial Group,4,13.5,2,1,2,3,0.0,2,Core Relationship Employers
Lincoln International,1,108.33,1,1,1,1,0.0,1,Low-Engagement Employers
Lindner Career Services,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lindner Office of Inclusive Excellence,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Linkedin Corporation,1,24.0,1,1,1,1,0.0,1,Low-Engagement Employers
Literacy Network of Greater Cincinnati,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
"Lithko Contracting, LLC",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
LivCor,1,30.0,1,1,1,1,0.0,1,Low-Engagement Employers
Live Nation,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Live Nation Entertainment,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Live Reps Call Center,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Live Well Collaborative,2,17.0,1,1,1,2,0.0,1,Low-Engagement Employers
Local Creator Studio,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Local Konnect,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Location3,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Location3 Media,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Locey, Mitchell & Associates, Ltd",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lock Logistics LLC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lockheed Martin,1,26.45,1,1,1,1,0.0,1,Low-Engagement Employers
Lohre & Associates,2,17.0,1,1,1,2,0.0,1,Low-Engagement Employers
London Computer Systems,6,16.833333333333332,2,1,4,3,0.0,2,Core Relationship Employers
Lordstown Motors,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Losant IoT,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
LouCity FC and Racing Louisville,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
LouCity FC and Racing Louisville FC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Louisville Water Company,1,20.71,1,1,1,1,0.0,1,Low-Engagement Employers
"Lounsbury Excavating, Inc",1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Loveland Bike Rental,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Loyalty360,4,12.0,2,1,2,2,0.0,2,Core Relationship Employers
Lubrizol Corporation,12,24.343333333333334,5,2,4,3,0.0,0,Strategic High-Volume Partners
Lucas Oil Late Model Dirt Series,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Luma Financial Technologies,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Luxfer Gas Cylinders,3,18.0,2,1,2,3,0.0,2,Core Relationship Employers
Luxfer Magtech,3,18.0,2,1,1,2,0.0,1,Low-Engagement Employers
Luxottica,7,16.0,5,3,2,3,0.0,0,Strategic High-Volume Partners
Luxottica Group,18,15.383333333333333,9,1,3,3,0.0,2,Core Relationship Employers
Lykins Energy Solutions,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Lynx Specialty Insurance,15,18.266666666666666,3,1,3,3,0.0,2,Core Relationship Employers
Lyons Magnus,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
M/I Homes - Residential Home Builder,5,17.4,3,1,3,3,0.0,2,Core Relationship Employers
MACKEY,2,17.5,2,1,2,1,0.0,1,Low-Engagement Employers
MACRO SOLUTIONS,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
MADE Hoops,2,14.75,1,1,2,2,0.0,2,Core Relationship Employers
MAHLE,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
MAI Capital Management,1,20.59,1,1,1,1,0.0,1,Low-Engagement Employers
MAST Global Logistics: A Division of L Brands,2,21.0,2,1,2,2,0.0,2,Core Relationship Employers
MBK Cincinnati,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
MCF Advisors LLC,1,11.0,1,1,1,1,0.0,1,Low-Engagement Employers
MCM,1,22.5,1,1,1,1,0.0,1,Low-Engagement Employers
MCM CPAs & Advisors LLP,14,22.357142857142858,6,1,2,1,0.0,2,Core Relationship Employers
MDM Wealth Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
MEMI,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
METTLER TOLEDO,7,17.714285714285715,3,1,4,3,0.0,2,Core Relationship Employers
"MEVA Formwork Systems, Inc",1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
MICA Guides,1,60.0,1,1,1,1,0.0,1,Low-Engagement Employers
MLTPLY inc,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
MMB CPAs & Advisors,1,28.0,1,1,1,1,0.0,1,Low-Engagement Employers
MOD Network LLC,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
MOJO,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
MSI Utilities,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
MTC The Content Agency,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"MUC Holdings, LLC",2,15.0,1,1,2,1,0.0,1,Low-Engagement Employers
MVAH Partners,3,18.0,2,1,1,2,0.0,1,Low-Engagement Employers
Maastricht University,1,11.5,1,1,1,1,0.0,1,Low-Engagement Employers
MacLean-Fogg,2,18.0,1,1,2,2,0.0,2,Core Relationship Employers
Macey Ventures LLC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Machintek Corporation,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mackey Advisors,1,12.75,1,1,1,1,0.0,1,Low-Engagement Employers
Macquarie Group,1,141.67,1,1,1,1,0.0,1,Low-Engagement Employers
Macy's,2,15.0,1,1,2,2,0.0,2,Core Relationship Employers
"Macy's, Inc",14,17.771428571428572,7,2,5,3,0.0,0,Strategic High-Volume Partners
Macys,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Madewell Restoration,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Magnified Giving,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Magnolia Bluffs Casino & Hotel,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Main Street Portsmouth In Bloom,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Majestic Springs Golf Course,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Make It Plain Consulting,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Makino,9,16.97222222222222,5,1,4,2,0.0,2,Core Relationship Employers
Makino Inc,15,17.716666666666665,6,1,5,3,0.0,2,Core Relationship Employers
Makino Manufacturing,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Maleika Huff at Emory University,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Maloney and Novotny,1,25.0,1,1,1,1,0.0,1,Low-Engagement Employers
Management & Beyond,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mane,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mane USA,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mapvision Inc,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Marathon,1,18.75,1,1,1,1,0.0,1,Low-Engagement Employers
Marathon Petroleum Company,15,19.836000000000002,6,2,6,3,0.0,0,Strategic High-Volume Partners
Marcum LLP,2,20.5,2,1,2,2,0.0,2,Core Relationship Employers
Marcus & Millichap,5,12.05,3,1,2,2,0.0,2,Core Relationship Employers
Marcus Thomas LLC,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Marcus and Millichap,1,8.55,1,1,1,1,0.0,1,Low-Engagement Employers
Margaret Mary Health,1,11.25,1,1,1,1,0.0,1,Low-Engagement Employers
Mariemont School Foundation,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mariner,1,20.59,1,1,1,1,0.0,1,Low-Engagement Employers
Mariner Wealth Advisors,2,23.295,2,2,2,1,0.0,1,Low-Engagement Employers
Mark Reardon,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mark Williams Auto Group,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Market Vision Research,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Marketing with Class,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Marmon Holdings, Inc",1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Marque Engineering,12,16.541666666666668,2,1,5,3,0.0,2,Core Relationship Employers
"Marriott International, Inc",1,15.88,1,1,1,1,0.0,1,Low-Engagement Employers
Mars Electric,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Marsh Berry,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
MarshBerry,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Martin Trunnion Tables,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Martin and Associates,3,17.0,2,1,1,2,0.0,1,Low-Engagement Employers
Marvin,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
MassMutual,1,18.5,1,1,1,1,0.0,1,Low-Engagement Employers
MassMutual Ascend,14,20.064285714285713,4,2,4,3,0.0,0,Strategic High-Volume Partners
Master Provisions,1,12.5,1,1,1,1,0.0,1,Low-Engagement Employers
Masterflex,1,31.25,1,1,1,1,0.0,1,Low-Engagement Employers
Masterflex Group,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Material Handling Systems,2,19.0,1,1,1,2,0.0,1,Low-Engagement Employers
Matt Castrucciâ€™s Auto Mall of Dayton,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Matthews International,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Matthews International (Matthews Automation Solutions),1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Maura Bassman Events,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Maxelle Mortgage,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Maxim Crane Works, LP",4,16.0,1,1,2,2,0.0,2,Core Relationship Employers
Maximum CQ,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mayerson JCC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mayfield Sand Ridge Club,1,14.5,1,1,1,1,0.0,1,Low-Engagement Employers
Mayvin,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Maywic Select Investments,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
McGohan Brabender,11,15.272727272727273,2,1,5,3,0.0,2,Core Relationship Employers
McKinsey & Company,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
McManis Accounting & Tax Services,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Meaden & Moore,1,23.0,1,1,1,1,0.0,1,Low-Engagement Employers
MedUS Healthcare,1,15.4,1,1,1,1,0.0,1,Low-Engagement Employers
MedVet Medical & Cancer Centers for Pets,1,18.5,1,1,1,1,0.0,1,Low-Engagement Employers
Medical Advisors Group,1,43.75,1,1,1,1,0.0,1,Low-Engagement Employers
Medical Mutual of Ohio,2,19.0,2,2,2,1,0.0,1,Low-Engagement Employers
Medina County Convention and Visitor's Bureau,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Medline Industries, Inc",1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Medpace,17,18.08823529411765,8,1,7,3,0.0,0,Strategic High-Volume Partners
"Medpace, Inc",77,18.116883116883116,13,2,7,3,0.0,0,Strategic High-Volume Partners
MegaCorp Logistics LLC,14,14.0,4,1,6,3,0.0,2,Core Relationship Employers
MegaCorp Pavilion,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Meijer,3,17.333333333333332,2,1,2,1,0.0,1,Low-Engagement Employers
Merchandise Inc,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Merchants Bank of Indiana,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mercury Marine,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mercy Health,5,15.6,4,1,2,2,0.0,2,Core Relationship Employers
"Meridian Bioscience, Inc",2,22.0,1,1,1,2,0.0,1,Low-Engagement Employers
Meridiana Texas,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Meritor,53,17.82,8,2,4,3,0.0,0,Strategic High-Volume Partners
Meritor Automotive,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
"Meritor, Inc",2,17.75,1,1,2,2,0.0,2,Core Relationship Employers
"Merkle & Merkle, ltd",3,19.666666666666668,1,1,3,1,0.0,1,Low-Engagement Employers
Merrill Lynch,2,17.5,2,2,1,2,0.0,2,Core Relationship Employers
Merrill Lynch Wealth Management,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Merus,8,17.625,4,2,2,3,0.0,2,Core Relationship Employers
Merus (formerly Al. Neyer),1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Messer,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Messer Co,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Messer Construction Co,28,15.410714285714286,9,1,7,3,0.0,0,Strategic High-Volume Partners
MetLife,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
Metal Panel Systems,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Metalex Manufacturing,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Metropolitian Holdings,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Miami Valley Golf Club,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Michael A. Veneman,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Michelman Inc,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Michigan International Speedway,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Microsoft,2,18.0,1,1,2,1,0.0,1,Low-Engagement Employers
Midcontinent Independent System Operator (MISO),1,26.0,1,1,1,1,0.0,1,Low-Engagement Employers
Midmark Corporation,3,17.0,3,1,2,2,0.0,2,Core Relationship Employers
Midstate Financial Solutions LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Midwest Automotive Equipment Sales and Service,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Midwest Best BBQ,2,16.0,1,1,2,2,0.0,2,Core Relationship Employers
"Midwest CPA, LLC",8,17.375,1,2,3,3,0.0,2,Core Relationship Employers
Mike Dailey / State Farm Insurance Agency,1,14.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mike's Carwash,1,16.15,1,1,1,1,0.0,1,Low-Engagement Employers
Mil Mujeres,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
Milacron,4,17.0,3,1,3,3,0.0,2,Core Relationship Employers
Milex Logistics,2,17.0,2,1,2,2,0.0,2,Core Relationship Employers
Milex Logistics LLC,2,15.5,2,1,2,2,0.0,2,Core Relationship Employers
Milex logistics,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Miller Valentine Investments,1,21.0,1,1,1,1,0.0,1,Low-Engagement Employers
Miller Weldmaster,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Milliman,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Milton & Sons Flooring LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mindful HealthCare Agency,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mindgruvemacarta,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mingles Soft Serve,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Minority Masterminds,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mission Underwriters,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mission University,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Mitchell Insurance Agency, Inc",4,17.25,2,1,3,2,0.0,2,Core Relationship Employers
Mitsubishi,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mitsubishi Electric,1,20.1,1,1,1,1,0.0,1,Low-Engagement Employers
Mitsubishi Electric Automotive America,6,19.75,2,1,2,3,0.0,2,Core Relationship Employers
"Mitsubishi Electric US, Inc",1,20.15,1,1,1,1,0.0,1,Low-Engagement Employers
Mizuho Americas LLC,1,35.0,1,1,1,1,0.0,1,Low-Engagement Employers
Modula Inc,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Moeller Trucking Inc,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mohawk Global,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mohawk Global Logistics,2,15.0,1,1,1,2,0.0,1,Low-Engagement Employers
Molson Coors Beverage Company,1,19.5,1,1,1,1,0.0,1,Low-Engagement Employers
Monarch Investment and Management Group,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mondelez International,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
MondelÄ“z International,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Monhollen Landscaping LLC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Monti Inc,3,17.333333333333332,3,1,3,1,0.0,1,Low-Engagement Employers
"Monti, Inc",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Monument Records,1,7.25,1,1,1,1,0.0,1,Low-Engagement Employers
Moonslate Consulting,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Morgan Stanley,5,16.4,4,3,4,3,0.0,0,Strategic High-Volume Partners
Morgan Stanley Wealth Management,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Morris Furniture Company, Inc",1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Moss & Associates (Energy & Construction),2,22.5,1,1,2,2,0.0,2,Core Relationship Employers
Moss Construction,2,17.0,1,1,1,2,0.0,1,Low-Engagement Employers
Motion Industries,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Motiv,6,17.833333333333332,3,2,3,3,0.0,2,Core Relationship Employers
Motor City Stamping Inc,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Motus Freight,2,15.0,1,1,1,2,0.0,1,Low-Engagement Employers
Motz Engineering,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mount Carmel Health System,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Moyyn,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mr Roof,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mubea,10,18.1,3,1,6,3,0.0,2,Core Relationship Employers
Mueller Corporation,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mueller Roofing Distributors,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
"Munich Reinsurance America, Inc. (Property & Casualty Insurance)",2,18.0,1,1,1,2,0.0,1,Low-Engagement Employers
Museema,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Music & Event Management Inc,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Music for All,1,10.0,1,1,1,1,0.0,1,Low-Engagement Employers
Must Lawn and Landscape,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Mutual of Omaha,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
My Brothers' Keeper,1,12.88,1,1,1,1,0.0,1,Low-Engagement Employers
MyCommunity.Today Inc,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Myriad,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Myriad Genetics Inc,5,21.6,3,1,3,3,0.0,2,Core Relationship Employers
"Myriad Genetics, Inc",2,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Myriad Neuroscience,7,18.714285714285715,2,1,3,3,0.0,2,Core Relationship Employers
N Wasserstrom,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
NAI Bergman,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
NASCAR Enterprises LLC,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
NBCUniversal,1,12.0,1,1,1,1,0.0,1,Low-Engagement Employers
NELSON,1,16.5,1,1,1,1,0.0,1,Low-Engagement Employers
NELSON Worldwide,1,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
NISBET BROWER,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
NKY Apartments,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
NVIDIA,2,17.0,1,1,2,1,0.0,1,Low-Engagement Employers
Naked Lime Marketing,1,13.0,1,1,1,1,0.0,1,Low-Engagement Employers
Narratize,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
National Aeronautics and Space Administration (NASA),4,52.807500000000005,2,1,3,2,0.0,2,Core Relationship Employers
National Alliance on Mental Illness Wood County,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
National Corporate Housing,3,17.666666666666668,2,1,2,1,0.0,1,Low-Engagement Employers
National Design Mart,1,15.5,1,1,1,1,0.0,1,Low-Engagement Employers
National Futures Association,2,17.0,1,1,2,1,0.0,1,Low-Engagement Employers
National Inventors Hall of Fame,1,10.5,1,1,1,1,0.0,1,Low-Engagement Employers
National Logistics Services LLC,1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
National Retail Federation,2,17.3,1,1,1,2,0.0,1,Low-Engagement Employers
National Science Foundation REU program at Texas A&M Kingsville,1,8.33,1,1,1,1,0.0,1,Low-Engagement Employers
National TAB,6,15.166666666666666,1,1,2,3,0.0,2,Core Relationship Employers
Nationwide,9,19.833333333333332,4,1,5,3,0.0,2,Core Relationship Employers
Nationwide Insurance,2,17.0,1,2,1,1,0.5,3,Premium Remote / Specialized Employers
Nationwide Mutual Insurance,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nationwide Mutual Insurance Company,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
NaviStone,6,15.166666666666666,3,1,4,3,0.0,2,Core Relationship Employers
Naviam,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Navian Capital, LLC",1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Necco,3,23.973333333333333,3,1,3,3,0.0,2,Core Relationship Employers
Needham & Company,2,9.665,1,1,1,1,0.0,1,Low-Engagement Employers
Neeuro,1,55.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nehemiah Manufacturing,3,16.666666666666668,2,2,2,2,0.0,2,Core Relationship Employers
Nehemiah Manufacturing Co,4,17.25,2,1,2,3,0.0,2,Core Relationship Employers
Nelnet,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nelnet Business Services,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
NephoSec,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nestle,2,18.0,1,1,1,2,0.0,1,Low-Engagement Employers
Nestle USA,1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Neural Payements,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
New Life Furniture Bank,2,17.0,1,1,1,2,0.0,1,Low-Engagement Employers
Newell Brands,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
Newmark,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Newmark Knight Frank (NKF),1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
Newport Aquarium,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Newport News Shipbuilding,1,42.02,1,1,1,1,0.0,1,Low-Engagement Employers
"Next Generation Fuel, LLC",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
"NextEra Energy, Inc",1,19.0,1,1,1,1,0.0,1,Low-Engagement Employers
"NextGen Federal Systems, LLC",1,9.0,1,1,1,1,0.0,1,Low-Engagement Employers
Neyer Management,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Neyer Properties, Inc",16,16.78125,5,1,6,3,0.0,2,Core Relationship Employers
"NiSource, Inc",1,16.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Nichefire, Inc",1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
"Niehaus Law Office, LLC",1,18.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nielsen,10,19.0,6,2,3,3,0.1,0,Strategic High-Volume Partners
Nielsen Catalina Solutions,4,19.25,3,1,3,2,0.25,2,Core Relationship Employers
Night Dispatch LLC,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nikki Shah Insurance Agency Inc,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nimble Robotics,1,15.0,1,1,1,1,0.0,1,Low-Engagement Employers
Nordstrom,2,20.25,1,1,2,1,0.0,1,Low-Engagement Employers
North American Bancard,1,22.0,1,1,1,1,0.0,1,Low-Engagement Employers
North American Properties,13,15.826923076923077,3,1,2,3,0.0,2,Core Relationship Employers
North Point Ministries,1,20.0,1,1,1,1,0.0,1,Low-Engagement Employers
North Wind Papers Pvt. Ltd,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
NorthAvenue Financial Advocates,3,17.333333333333332,1,1,2,3,0.0,2,Core Relationship Employers
NorthMarq Capital,1,17.0,1,1,1,1,0.0,1,Low-Engagement Employers
"NorthStar Financial Services Group, LLC",2,15.0,1,1,1,2,0.0,1,Low-Engagement Employers
Northern Kentucky Symphony DBA Kentucky Symphony Orchestra,1,13.75,1,1,1,1,0.0,1,Low-Engagement Employers
